uuid,user_age,device,computer_time,target_object_id,misses,movement_time,index_difficulty
6c8add89-dbdf-4592-acfe-c456edc01838,24,Mouse,10,17,0,0.541,1.967
6c8add89-dbdf-4592-acfe-c456edc01838,24,Mouse,10,22,1,0.931,2.285
6c8add89-dbdf-4592-acfe-c456edc01838,24,Mouse,10,2,0,0.729,2.092
6c8add89-dbdf-4592-acfe-c456edc01838,24,Mouse,10,11,0,0.722,2.291
6c8add89-dbdf-4592-acfe-c456edc01838,24,Mouse,10,15,0,0.688,3.586
6c8add89-dbdf-4592-acfe-c456edc01838,24,Mouse,10,10,0,0.694,3.819
6c8add89-dbdf-4592-acfe-c456edc01838,24,Mouse,10,9,0,0.431,0.698
6c8add89-dbdf-4592-acfe-c456edc01838,24,Mouse,10,20,0,0.409,1.812
6c8add89-dbdf-4592-acfe-c456edc01838,24,Mouse,10,4,0,0.709,3.339
6c8add89-dbdf-4592-acfe-c456edc01838,24,Mouse,10,18,0,0.423,1.240
6c8add89-dbdf-4592-acfe-c456edc01838,24,Mouse,10,1,0,0.500,2.264
6c8add89-dbdf-4592-acfe-c456edc01838,24,Mouse,10,8,0,0.403,2.230
6c8add89-dbdf-4592-acfe-c456edc01838,24,Mouse,10,16,0,0.785,3.903
6c8add89-dbdf-4592-acfe-c456edc01838,24,Mouse,10,3,1,0.812,1.989
6c8add89-dbdf-4592-acfe-c456edc01838,24,Mouse,10,0,2,1.042,2.646
6c8add89-dbdf-4592-acfe-c456edc01838,24,Mouse,10,19,1,1.493,3.623
6c8add89-dbdf-4592-acfe-c456edc01838,24,Mouse,10,5,0,0.479,2.028
6c8add89-dbdf-4592-acfe-c456edc01838,24,Mouse,10,6,0,0.681,2.996
231c917b-cd39-4469-8f5b-e9e3bf7c414e,24,Trackpad,8,20,0,1.440,2.225
231c917b-cd39-4469-8f5b-e9e3bf7c414e,24,Trackpad,8,10,0,1.377,2.873
231c917b-cd39-4469-8f5b-e9e3bf7c414e,24,Trackpad,8,12,0,1.051,2.242
231c917b-cd39-4469-8f5b-e9e3bf7c414e,24,Trackpad,8,18,0,0.953,1.149
231c917b-cd39-4469-8f5b-e9e3bf7c414e,24,Trackpad,8,16,0,1.333,2.151
231c917b-cd39-4469-8f5b-e9e3bf7c414e,24,Trackpad,8,4,0,1.267,3.075
231c917b-cd39-4469-8f5b-e9e3bf7c414e,24,Trackpad,8,1,0,0.979,1.764
231c917b-cd39-4469-8f5b-e9e3bf7c414e,24,Trackpad,8,19,0,1.833,3.579
231c917b-cd39-4469-8f5b-e9e3bf7c414e,24,Trackpad,8,7,0,1.315,2.227
231c917b-cd39-4469-8f5b-e9e3bf7c414e,24,Trackpad,8,9,0,1.117,1.971
231c917b-cd39-4469-8f5b-e9e3bf7c414e,24,Trackpad,8,2,0,1.045,1.513
231c917b-cd39-4469-8f5b-e9e3bf7c414e,24,Trackpad,8,14,0,1.401,2.761
231c917b-cd39-4469-8f5b-e9e3bf7c414e,24,Trackpad,8,0,0,1.126,2.387
231c917b-cd39-4469-8f5b-e9e3bf7c414e,24,Trackpad,8,21,0,1.498,3.781
231c917b-cd39-4469-8f5b-e9e3bf7c414e,24,Trackpad,8,15,0,1.497,2.804
231c917b-cd39-4469-8f5b-e9e3bf7c414e,24,Trackpad,8,6,0,1.119,2.471
231c917b-cd39-4469-8f5b-e9e3bf7c414e,24,Trackpad,8,5,0,0.873,0.950
231c917b-cd39-4469-8f5b-e9e3bf7c414e,24,Trackpad,8,22,0,1.084,1.870
231c917b-cd39-4469-8f5b-e9e3bf7c414e,24,Trackpad,8,17,0,1.253,2.197
231c917b-cd39-4469-8f5b-e9e3bf7c414e,24,Trackpad,8,11,0,1.929,2.013
231c917b-cd39-4469-8f5b-e9e3bf7c414e,24,Trackpad,8,13,0,1.542,2.093
231c917b-cd39-4469-8f5b-e9e3bf7c414e,24,Trackpad,8,3,0,1.169,1.531
